ID,Question,Options,Correct_Answers,Images,Answer_Link
1,"Three villages P, Q, and R are located in such a way that the distance $PQ = 13\ \text{km}$ , $QR = 14\ \text{km}$ , and $RP = 15\ \text{km}$ , as shown in the figure. A straight road joins Q and R. It is proposed to connect P to this road QR by constructing another road. What is the minimum possible length (in km) of this connecting road?",A: 10.5 | B: 11 | C: 12 | D: 12.5,['C'],https://practicepaper.in/wp-content/uploads/GATE/CE/20252/q60.webp,
2,"A business person buys potatoes of two different varieties P and Q, mixes them in a certain ratio and sells them at $₹ 192$ per kg. The cost of the variety P is $₹ 800$ for 5 kg. The cost of the variety Q is $₹ 800$ for 4 kg. If the person gets 8% profit, what is the $P:Q$ ratio (by weight)?",A: 05:04 | B: 03:04 | C: 03:02 | D: 01:01,['A'],,
3,"Consider a five-digit number $PQRST$ that has distinct digits $P,\ Q,\ R,\ S,\ T$ , and satisfies the following conditions: $P < Q$ $S > P > T$ $R < T$ If integers $1$ through $5$ are used to construct such a number, the value of $P$ is:",A: 1 | B: 2 | C: 3 | D: 4,['C'],,
4,"For the clock shown in the figure, if: $O^* = O\ Q\ S\ Z\ P\ R\ T$ , and $X^* = X\ Z\ P\ W\ Y\ O\ Q$ , then which one among the given options is most appropriate for $P^*$ ?",A: P U W R T V X | B: P R T O Q S U | C: P T V Q S U W | D: P S U P R T V,['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20252/q62.webp,
5,"""His life was divided between the books, his friends, and long walks. A solitary man, he worked at all hours without much method, and probably courted his fatal illness in this way. To his own name there is not much to show; but such was his liberality that he was continually helping others, and fruits of his erudition are widely scattered, and have gone to increase many a comparative stranger's reputation."" (From E.V. Lucas's ""A Funeral"") Based only on the information provided in the above passage, which one of the following statements is true? (A) The solitary man described in the passage is dead. (B) Strangers helped create a grand reputation for the solitary man described in the passage. (C) The solitary man described in the passage found joy in scattering fruits. (D) The solitary man worked in a court where he fell ill.",A: The solitary man described in the passage is dead. | B: Strangers helped create a grand reputation for the solitary man described in the passage. | C: The solitary man described in the passage found joy in scattering fruits. | D: The solitary man worked in a court where he fell ill.,['A'],,
6,"Consider a circle with its centre at the origin (O), as shown. Two operations are
allowed on the circle. Operation 1: Scale independently along the x and y axes. Operation 2: Rotation in any direction about the origin. Which figure among the options can be achieved through a combination of these
two operations on the given circle?",A: A | B: B | C: C | D: D,['A'],https://practicepaper.in/wp-content/uploads/GATE/CE/20232/q60.jpg,
7,"There are 4 red, 5 green, and 6 blue balls inside a box. If ?? number of balls are
picked simultaneously, what is the smallest value of ?? that guarantees there will be
at least two balls of the same colour? One cannot see the colour of the balls until they are picked.",A: 4 | B: 15 | C: 5 | D: 2,['A'],,
8,"In how many ways can cells in a 3 ? 3 grid be
shaded,such that each row and each column have
exactly one shaded cell? An example of one valid
shading is shown.",A: 2 | B: 9 | C: 3 | D: 6,['D'],https://practicepaper.in/wp-content/uploads/GATE/CE/20232/q58.jpg,
9,Kind : _______ : : Often : Seldom,A: Cruel | B: Variety | C: Type | D: Kindred,['A'],,
10,"The line ran ______ the page, right through the
centre, and divided the page into two.",A: across | B: of | C: between | D: about,['A'],,
11,"A square of side length $4 \mathrm{~cm}$ is given. The boundary of the shaded region is defined by one semi-circle on the top and two circular arcs at the bottom, each of radius $2 \mathrm{~cm}$ , as shown. The area of the shaded region is $\mathrm{cm}^{2}$ .",A: 8 | B: 4 | C: 12 | D: 10,['A'],https://practicepaper.in/wp-content/uploads/GATE/CE/20231/q65.jpg,
12,"Let $a=30 !, b=50$ !, and $c=100 ;$ . Consider the following numbers: $\log _{a} c, \log _{c} a, \log _{b} a, \log _{a} b$ Which one of the following inequalities is CORRECT?",A: $\log _{c} a \lt \log _{b} a \lt \log _{a} b \lt  \log _{a} c$ | B: $\log _{c} a \lt \log _{b} b \lt \log _{b} a \lt \log _{b} c$ | C: $\log _{c} a \lt \log _{b} a \lt \log _{a} c \lt \log _{a} b$ | D: $\log _{b} a \lt \log _{c} a \lt \log _{a} b \lt \log _{a} c$,[],,
13,"The James Webb telescope, recently launched in
space, is given humankind unprecedented access
to the depths of time by imaging very old stars
formed almost 13 billion years ago. Astrophysicists
and cosmologists believe that this odyssey in space
may even shed light on the existence of dark
matter. Dark matter is supposed to interact only
via the gravitational interaction and not through
the electromagnetic-, the weak - or the stronginteraction. This may justify the epithet ""dark"" in
dark matter. Based on the above paragraph, which one of the
following statements is FALSE?","A: No other telescope has captured images of
starts older than those captured by the James
Webb telescope. | B: People other than astrophysicists and
cosmologists may also believe in the
existence of dark matter. | C: The James Webb telescope could be of use
in the research on dark matter. | D: If dark matter was known to interact via the
strong-interaction, then the epithet ""dark""
would be justified.",['D'],,
14,"Which one of the options can be inferred about
the mean, median, and mode for the given
probability distribution (i.e. probability mass
function), P(x), of a variable x?",A: mean = median $\neq$ mode | B: mean = median = mode | C: mean $\neq$ median = mode | D: mean $\neq$ mode = median,['A'],https://practicepaper.in/wp-content/uploads/GATE/CE/20231/q62.jpg,
15,"Based only on the truth of the statement 'Some
humans are intelligent', which one of the following
options can be logically inferred with certainty?",A: No human is intelligent. | B: All humans are intelligent. | C: Some non-humans are intelligent. | D: Some intelligent beings are humans.,['D'],,
16,"A line of symmetry is defined as a line that divides
a figure into two parts in a way such that each part
is a mirror image of the other part about that line.
The figure below consists of 20 unit squares
arranged as shown. In addition to the given black
squares, upto 5 more may be coloured black. Which
one among the following options depicts the
minimum number of boxes that must be coloured
black to achieve two lines of symmetry? (The figure
is representative)","A: d | B: c, d, i | C: c, i | D: c, d, I, f, g",['D'],https://practicepaper.in/wp-content/uploads/GATE/CE/20231/q60.jpg,
17,"A duck named Donald Duck says ""All ducks always
lie.""
Based only on the information above, which one
of the following statements can be logically inferred
with certainty?",A: Donald Duck always lies. | B: Donald Duck always tells the truth | C: Donald Duck's statement is true. | D: Donald Duck's statement is false.,['D'],,
18,"In the given figure, PQRSTV is a regular hexagon
with each side of length 5 cm. A circle is drawn
with its centre at V such that it passes through P.
What is the area (in $cm^2$ ) of the shaded region?
(The diagram is representative)",A: $\frac{25 \pi}{3}$ | B: $\frac{20 \pi}{3}$ | C: $6 \pi$ | D: $7 \pi$,['A'],https://practicepaper.in/wp-content/uploads/GATE/CE/20231/q58.jpg,
19,Eject : Insert : : Advance : ______ (By word meaning),A: Advent | B: Progress | C: Retreat | D: Loan,['C'],,
20,"""I have not yet decided what I will do this evening;
I _____ visit a friend.""",A: mite | B: would | C: might | D: didn't,['C'],,
21,"An ant walks in a straight line on a plane leaving behind a trace of its
movement. The initial position of the ant is at point P facing east. The ant first turns $72^{\circ}$ anticlockwise at P, and then does the following twosteps in sequence exactly FIVE times before halting. 1. moves forward for 10 cm. 2. turns $144^{\circ}$ clockwise. The pattern made by the trace left behind by the ant is",A: A | B: B | C: C | D: D,['C'],"https://practicepaper.in/wp-content/uploads/GATE/CE/20221/q65b.jpg, https://practicepaper.in/wp-content/uploads/GATE/CE/20221/q65a.jpg",
